12,120,-29.22252,-47.64433,-16.74214,-18.27176,-16.40647,-12.09772,-8.806295,-6.648175,-3.343406,-4.183164,-2.020248,-2.522557,-1.192272,-2.269968,-0.9540024,-1.207085,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,12,120,-2.824556,-2.503114,-2.095272,-2.45638,112.6879,96.3456,-1.436699,-1.955767,-1.683919,-2.446667,-1.578442,-3.36642,-1.921373,-1.782705,-1.566456,-2.373918,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,12,120,-1.722823,-3.965435,5.113697,-1.806024,-1.552223,-2.29495,-2.846834,-69.777,0.3719579,0.2428611,0.4768272,-9.631868E-05,0.2200176,0.1109487,-0.0001091612,2.911406,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
13,130,-29.10227,-46.67693,-16.61908,-15.95796,-14.47574,-10.24651,-8.423521,-6.021234,-4.458204,-3.075528,-2.733222,-2.522557,-2.265248,-1.672632,-1.909243,0.2413281,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,13,130,-2.286567,-2.107644,-1.964323,-2.197824,112.5564,96.59104,-1.959098,-1.82539,-2.848725,-1.545273,-2.629609,-3.36642,-2.049355,-1.782705,-2.650301,-2.939136,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,13,130,-2.642098,-4.47708,5.62487,-2.450965,-1.552223,-2.040166,-2.458926,-69.01157,0.6192039,-0.3620266,-0.5959694,-0.4851989,-0.0001765842,0.222098,-0.0001091612,2.911406,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
14,140,-30.42502,-47.40248,-16.98826,-15.10551,-13.51037,-10.36993,-8.168336,-6.648175,-3.715005,-2.829386,-1.663761,-2.144335,-2.265248,-1.911565,-1.073408,-0.3621775,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,14,140,-1.21059,-1.580351,-2.226214,-1.551435,112.6879,97.57304,-1.306099,-1.69501,-2.331033,-1.158962,-3.286586,-2.154055,-2.305319,-2.116799,-2.048165,-2.034787,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,14,140,-1.837735,-3.197965,5.62487,-2.450965,-2.976957,-2.422341,-2.329624,-69.12093,0.3719579,0.7267694,-0.1191711,0.6062779,0.5501595,0.1109993,-0.3321116,2.209319,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
15,150,-31.02627,-47.16063,-15.75765,-15.10551,-12.30365,-10.36993,-8.040745,-7.400505,-5.077537,-5.044659,-2.970881,-3.404924,-1.549931,-3.34517,-1.431674,-0.8449813,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,15,150,-1.883076,-2.239467,-1.833375,-2.197824,111.8991,97.81848,-0.7837002,-2.346898,-1.942764,-2.961749,-2.761004,-2.42347,-1.665409,-2.45089,-1.446029,-1.808698,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,15,150,-1.837735,-3.197965,5.241489,-2.579954,-2.070308,-1.785383,-1.812413,-69.12093,-0.122535,-0.2410503,0.5960268,-0.4851989,0.10989,-0.6670462,-0.0001589258,2.560362,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
16,160,-28.86177,-46.67693,-14.15786,-12.79171,-10.49359,-8.888964,-6.382049,-6.397398,-3.467272,-3.321669,-2.257906,-2.522557,-1.90759,-2.628367,-1.909294,-0.1207724,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,160,-1.883076,-1.97582,-1.702426,-2.714936,112.6879,97.69576,-1.567299,-1.434256,-2.460456,-2.832979,-1.841234,-1.749932,-1.921373,-1.671341,-1.566456,-1.695655,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,16,160,-1.952643,-4.860816,4.985904,-1.677036,-1.681744,-1.021033,-3.234742,-69.88634,0.3719579,0.8477457,0.9536256,-0.4851989,-0.3303763,0.333298,0.1105096,3.262397,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
17,170,-29.10228,-46.19323,-15.26541,-12.30459,-11.57963,-8.025068,-7.275192,-7.149729,-4.829803,-3.690881,-1.782591,-3.152819,-1.78837,-2.628367,-1.431674,0.2413297,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,17,170,-2.824556,-1.448528,-1.833375,-2.197824,112.9511,98.1867,-2.220298,-1.173499,-2.201611,-2.704208,-1.972629,-1.480519,-2.689264,-1.671341,-1.566456,-1.356523,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,17,170,-2.297368,-3.837523,5.369283,-2.708942,-2.717914,-3.0593,-1.941716,-68.68354,0.4955813,0.3638374,0.3576277,0.2424534,0.4400929,0.4444473,-0.5534969,2.911354,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
18,180,-28.50103,-46.18536,-14.89623,-13.64416,-12.78634,-9.752859,-7.657969,-7.776669,-5.573002,-4.060093,-2.020248,-2.774662,-1.90759,-3.34517,-2.74513,-7.223901E-05,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,180,-1.21059,-2.107644,-3.011898,-1.809991,113.2143,97.57304,-0.9143003,-2.477278,-1.425072,-1.287732,-1.05286,-2.019347,-0.6415563,-2.116799,-1.325602,-1.582612,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,18,180,-1.493001,-2.81423,5.880455,-1.935013,-1.681744,-0.8936415,-2.071019,-69.44897,-0.122535,-1.087891,0.1192281,0.3637282,0.8803592,0.4444473,0.3318451,2.560305,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
19,190,-30.06428,-47.27349,-15.14235,-13.88772,-12.42432,-9.629445,-7.785561,-7.651281,-5.573002,-4.552376,-2.733222,-3.278872,-2.742126,-3.703572,-2.386915,-1.327783,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19,190,-1.883076,-2.634937,-1.571478,-1.939269,112.1618,98.1867,-1.436699,-3.259543,-2.201611,-2.189126,-1.972629,-2.154055,-1.409446,-2.896348,-1.927738,-1.695655,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,19,190,-1.378092,-3.5817,4.730318,-1.677036,-1.293181,-1.530599,-1.812413,-68.90224,-0.122535,0.3638374,0.3576277,0.2424534,-0.7706458,0.1109993,-0.0001589258,3.61344,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
20,200,-28.50103,-45.70174,-15.14235,-13.27882,-10.73493,-8.395308,-7.020009,-6.898952,-5.573002,-4.306235,-3.565026,-4.287292,-4.172758,-3.584105,-3.222751,-0.3621759,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,20,200,-2.959053,-2.37129,-1.309587,-1.034273,112.8195,98.1867,-2.350898,-2.086144,-0.7779564,-0.9014205,-2.104027,-1.615226,-2.4333,-1.448614,-1.566456,-1.695655,24,24,24,24,23,23,24,24,24,24,24,24,24,24,24,24,20,200,-1.263184,-4.093347,5.113697,-1.677035,-1.552223,-2.167558,-3.364045,-69.12093,0.3719579,0.7267694,0.834426,-9.631868E-05,0.5501595,0.333298,0.1105096,3.145383,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
21,210,-29.70353,-47.03168,-15.01929,-14.37483,-13.38969,-9.012377,-8.040745,-7.651281,-4.582071,-5.290801,-3.208539,-3.783082,-3.695879,-3.703572,-2.267509,-0.4828761,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,21,210,-2.824556,-1.97582,-1.571478,-1.422106,112.5563,97.69576,-2.220298,-1.434256,-1.683919,-1.802814,-2.104027,-2.019347,-1.793391,-1.894072,-1.927738,-1.921744,24,24,24,24,23,23,24,24,24,24,24,24,24,24,24,24,21,210,-2.067548,-3.5817,5.752662,-1.548047,-1.034087,-1.148425,-1.812413,-68.90224,0.3719579,-0.4830029,-0.4767698,-0.3639241,0.10989,0.5555966,-0.1108259,2.326276,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
