Results Table 1
,Maximum Load
,(lbf)
"1","980.72"

Time,Elongation,Load
(s),(in),(lbf)
"5.8200","0.0257","204.2398"
"5.8400","0.0258","205.2211"
"5.8600","0.0259","206.2814"
"5.8800","0.0259","207.4393"
"5.9000","0.0260","208.5306"
"5.9200","0.0261","209.5565"
"5.9400","0.0261","210.5811"
"5.9600","0.0262","211.6178"
"5.9800","0.0263","212.6493"
"6.0000","0.0263","213.6657"
"6.0200","0.0264","214.7613"
"6.0400","0.0265","215.8634"
"6.0600","0.0265","216.9542"
"6.0800","0.0266","217.9642"
"6.1000","0.0267","218.8889"
"6.1200","0.0267","219.8430"
"6.1400","0.0268","220.9058"
"6.1600","0.0269","222.0764"
"6.1800","0.0269","223.2228"
"6.2000","0.0270","224.2919"
"6.2200","0.0271","225.2487"
"6.2400","0.0271","226.1807"
"6.2600","0.0272","227.2038"
"6.2800","0.0273","228.3199"
"6.3000","0.0273","229.4325"
"6.3200","0.0274","230.4832"
"6.3400","0.0275","231.5031"
"6.3600","0.0275","232.4954"
"6.3800","0.0276","233.4850"
"6.4000","0.0277","234.5002"
"6.4200","0.0277","235.5793"
"6.4400","0.0278","236.6290"
"6.4600","0.0279","237.6314"
"6.4800","0.0279","238.6789"
"6.5000","0.0280","239.6985"
"6.5200","0.0281","240.6628"
"6.5400","0.0281","241.6583"
"6.5600","0.0282","242.7099"
"6.5800","0.0283","243.8015"
"6.6000","0.0283","244.8688"
"6.6200","0.0284","245.8731"
"6.6400","0.0285","246.8065"
"6.6600","0.0285","247.7439"
"6.6800","0.0286","248.7865"
"6.7000","0.0287","249.9232"
"6.7200","0.0287","251.0076"
"6.7400","0.0288","251.9802"
"6.7600","0.0289","252.9195"
"6.7800","0.0289","253.8409"
"6.8000","0.0290","254.8207"
"6.8200","0.0291","255.8461"
"6.8400","0.0291","256.8736"
"6.8600","0.0292","257.8912"
"6.8800","0.0293","258.8502"
"6.9000","0.0293","259.7990"
"6.9200","0.0294","260.7681"
"6.9400","0.0295","261.7411"
"6.9600","0.0295","262.7744"
"6.9800","0.0296","263.7583"
"7.0000","0.0297","264.7297"
"7.0200","0.0297","265.7184"
"7.0400","0.0298","266.6467"
"7.0600","0.0299","267.4848"
"7.0800","0.0299","268.3886"
"7.1000","0.0300","269.4255"
"7.1200","0.0301","270.4992"
"7.1400","0.0301","271.4798"
"7.1600","0.0302","272.3735"
"7.1800","0.0303","273.1976"
"7.2000","0.0303","274.1179"
"7.2200","0.0304","275.1526"
"7.2400","0.0305","276.2313"
"7.2600","0.0305","277.1861"
"7.2800","0.0306","278.0698"
