"Points:0","Points:1","Points:2","U:0","U:1","U:2","alphaPorosity","arc_length","fvSource:0","fvSource:1","fvSource:2","nuTilda","nut","p"
0.54755592,0.049702834,0.050000001,0,0,0,0,1.587685,0,0,0,1e-16,8.2845581e-05,-40.713303
0.5683853,0.048145562,0.050000001,0,0,0,0,1.6085725,0,0,0,1e-16,8.1762992e-05,-38.270561
0.58920872,0.046510544,0.050000001,0,0,0,0,1.62946,0,0,0,1e-16,8.0688114e-05,-35.863113
0.61002618,0.044801738,0.050000001,0,0,0,0,1.6503475,0,0,0,1e-16,7.9618992e-05,-33.483894
0.6308378,0.043022767,0.050000001,0,0,0,0,1.671235,0,0,0,1e-16,7.8552141e-05,-31.125902
0.65164351,0.041176729,0.050000001,0,0,0,0,1.6921225,0,0,0,1e-16,7.7484729e-05,-28.781952
0.67244345,0.039266281,0.050000001,0,0,0,0,1.7130099,0,0,0,1e-16,7.6410783e-05,-26.443493
0.6932376,0.037293762,0.050000001,0,0,0,0,1.7338974,0,0,0,1e-16,7.5325734e-05,-24.101921
0.71402591,0.03526089,0.050000001,0,0,0,0,1.7547849,0,0,0,1e-16,7.421917e-05,-21.746624
0.73480839,0.033169124,0.050000001,0,0,0,0,1.7756724,0,0,0,1e-16,7.3081348e-05,-19.364029
0.75558496,0.031019537,0.050000001,0,0,0,0,1.7965599,0,0,0,1e-16,7.189397e-05,-16.940218
0.77635556,0.028812882,0.050000001,0,0,0,0,1.8174474,0,0,0,1e-16,7.0639006e-05,-14.459476
0.79712009,0.02654965,0.050000001,0,0,0,0,1.8383349,0,0,0,1e-16,6.9283007e-05,-11.904505
0.81787831,0.024229608,0.050000001,0,0,0,0,1.8592223,0,0,0,1e-16,6.779196e-05,-9.251996
0.83863014,0.021852652,0.050000001,0,0,0,0,1.8801099,0,0,0,1e-16,6.6122091e-05,-6.4735146
0.85937524,0.019418105,0.050000001,0,0,0,0,1.9009973,0,0,0,1e-16,6.4287291e-05,-3.5321271
0.88011336,0.01692494,0.050000001,0,0,0,0,1.9218848,0,0,0,1e-16,6.2420644e-05,-0.37609833
0.90084428,0.014371977,0.050000001,0,0,0,0,1.9427723,0,0,0,1e-16,6.0793864e-05,2.8961706
0.91887265,0.012101175,0.050000001,0,0,0,0,1.9609431,0,0,0,1e-16,5.9629881e-05,6.0206499
0.93389177,0.010172534,0.050000001,0,0,0,0,1.9760856,0,0,0,1e-16,5.8751015e-05,8.8757925
0.94640428,0.0085393777,0.050000001,0,0,0,0,1.9887042,0,0,0,1e-16,5.7813231e-05,11.48769
0.95682895,0.007160149,0.050000001,0,0,0,0,1.9992197,0,0,0,1e-16,5.6731911e-05,13.877504
0.96551448,0.0059977472,0.050000001,0,0,0,0,2.0079827,0,0,0,1e-16,5.5344295e-05,15.968685
0.9727512,0.0050199544,0.050000001,0,0,0,0,2.0152852,0,0,0,1e-16,5.3922275e-05,17.826767
0.97878093,0.0041986606,0.050000001,0,0,0,0,2.0213706,0,0,0,1e-16,5.2119118e-05,19.419823
0.98380506,0.0035097513,0.050000001,0,0,0,0,2.0264417,0,0,0,1e-16,5.0185001e-05,20.795408
0.98799139,0.0029324901,0.050000001,0,0,0,0,2.0306676,0,0,0,1e-16,4.7693778e-05,21.959015
0.99147975,0.0024492156,0.050000001,0,0,0,0,2.0341893,0,0,0,1e-16,4.4606655e-05,22.828342
0.99438643,0.0020449201,0.050000001,0,0,0,0,2.037124,0,0,0,1e-16,4.0451683e-05,23.348803
0.99680853,0.0017068746,0.050000001,0,0,0,0,2.0395696,0,0,0,1e-16,3.5661291e-05,23.960236
